lemma	category	level
abo	ps	conservative
abos	ps	conservative
africoon	ps	conservative
africoons	ps	conservative
africunt	ps	conservative
africunts	ps	conservative
afrocoon	ps	conservative
afrocoons	ps	conservative
ah lian	ps	inclusive
ali baba	ps	conservative
americoon	ps	conservative
americoons	ps	conservative
americuck	ps	conservative
americucks	ps	conservative
americunt	ps	conservative
americunts	ps	conservative
amerimutt	ps	conservative
amerimutts	ps	conservative
anchor baby	ps	conservative
animals	an	inclusive
annoying	qas	inclusive
annoyings	qas	inclusive
anti-choice	dmc	inclusive
anti-choicer	dmc	inclusive
apefrican	ps	conservative
apefricans	ps	conservative
apeshit	cds	inclusive
apeshits	cds	inclusive
apple	ps	inclusive
apples	ps	inclusive
arse	asm	inclusive
arsehead	cds	inclusive
arseheads	cds	inclusive
arsehole	asm	inclusive
arseholes	asm	inclusive
arses	asm	inclusive
asajew	ps	conservative
asajews	ps	conservative
ass	asm	inclusive
assbag	asm	inclusive
assbags	asm	inclusive
assbutt	asm	inclusive
assbutts	asm	inclusive
assclown	asm	inclusive
assclowns	asm	inclusive
asses	asm	inclusive
assface	asm	inclusive
assfaces	asm	inclusive
assfuck	asm	inclusive
assfucker	asm	inclusive
assfuckers	asm	inclusive
assfucking	asm	inclusive
assfuckings	asm	inclusive
assfucks	asm	inclusive
asshat	asm	inclusive
asshats	asm	inclusive
asshead	asm	inclusive
assheads	asm	inclusive
asshole	asm	inclusive
assholes	asm	inclusive
assman	asm	inclusive
assmans	asm	inclusive
assmunch	asm	inclusive
assmuncher	asm	inclusive
assmunchers	asm	inclusive
assmunches	asm	inclusive
asswad	asm	inclusive
asswads	asm	inclusive
asswhore	asm	inclusive
asswhores	asm	inclusive
asswipe	asm	inclusive
asswipes	asm	inclusive
autist	ddp	conservative
autists	ddp	conservative
axe wound	asf	inclusive
bagel bender	ps	conservative
ball sack	asm	inclusive
ballbag	asm	inclusive
ballbags	asm	inclusive
balls	asm	inclusive
ballsucker	asm	inclusive
ballsuckers	asm	inclusive
banana	ps	inclusive
bananas	ps	inclusive
bastard	cds	inclusive
bastards	cds	inclusive
beaner	ps	conservative
beaners	ps	conservative
bed wench	ps	conservative
bellend	asm	inclusive
bellends	asm	inclusive
bhakt	ps	inclusive
bhakts	ps	inclusive
bi-dyke	om	inclusive
biatch	an	inclusive
biatches	an	inclusive
bible basher	ps	inclusive
bible thumper	ps	inclusive
bimbo	pr	inclusive
bimbos	pr	inclusive
binghi	ps	inclusive
binghis	ps	inclusive
bint	pr	inclusive
bints	pr	inclusive
bitch	an	inclusive
bitched	an	inclusive
bitches	an	inclusive
bitchface	an	inclusive
bitchfaces	an	inclusive
bitching	an	inclusive
bitchings	an	inclusive
bitchy	an	inclusive
bix nood	ps	conservative
blackfellow	ps	inclusive
blackfellows	ps	inclusive
blackies	ps	conservative
blacky	ps	conservative
bloodclaat	cds	inclusive
bloodclaats	cds	inclusive
bloody	cds	inclusive
boche	ps	inclusive
boches	ps	inclusive
bohunk	ps	inclusive
bohunks	ps	inclusive
bollock	asm	inclusive
bollocks	asm	inclusive
bollok	asm	inclusive
bolloks	asm	inclusive
boong	ps	conservative
boonga	ps	conservative
boongas	ps	conservative
boongs	ps	conservative
bootlip	ps	conservative
bootlipped	ps	conservative
bootlips	ps	conservative
border jumper	ps	conservative
boydyke	om	inclusive
boydykes	om	inclusive
brainfuck	asm	inclusive
brainfucks	asm	inclusive
brillo pad	ps	inclusive
brotherfucker	asm	conservative
brotherfuckers	asm	conservative
buddhahead	ps	conservative
buddhaheads	ps	conservative
bugger	asm	inclusive
buggered	asm	inclusive
buggering	asm	inclusive
buggers	asm	inclusive
bull dyke	om	conservative
bullcrap	cds	inclusive
bullcraps	cds	inclusive
bullshit	cds	inclusive
bullshits	cds	inclusive
bumblefuck	asm	inclusive
bumblefucks	asm	inclusive
bumfuck	asm	inclusive
bumfucks	asm	inclusive
burrhead	ps	conservative
burrheads	ps	conservative
buttface	asm	inclusive
buttfaces	asm	inclusive
buttfuck	asm	inclusive
buttfucker	asm	inclusive
buttfuckers	asm	inclusive
buttfucks	asm	inclusive
butthead	asm	inclusive
buttheads	asm	inclusive
butthole	asm	inclusive
buttholes	asm	inclusive
buttmunch	asm	inclusive
buttmuncher	asm	inclusive
buttmunchers	asm	inclusive
buttmunches	asm	inclusive
buttwipe	asm	inclusive
buttwipes	asm	inclusive
buybull	ps	inclusive
buybulls	ps	inclusive
cac	ps	inclusive
cacs	ps	inclusive
camel jockey	ps	conservative
camelfucker	ps	conservative
camelfuckers	ps	conservative
camwhore	pr	inclusive
camwhores	pr	inclusive
casper	ps	inclusive
caspers	ps	inclusive
celebretard	dmc	inclusive
celebretards	dmc	inclusive
chicom	ps	inclusive
chicoms	ps	inclusive
chigga	ps	conservative
chiggas	ps	conservative
child-fucker	re	inclusive
chimp out	ps	conservative
chimpout	ps	conservative
chimpouts	ps	conservative
chinaboy	ps	conservative
chinaboys	ps	conservative
chinaman	ps	conservative
chinaman's chance	ps	conservative
chinamans	ps	conservative
chinee	ps	conservative
chinees	ps	conservative
chinese virus	ps	conservative
ching chong	ps	conservative
chinkies	ps	conservative
chinkland	ps	conservative
chinklands	ps	conservative
chinkware	ps	conservative
chinkwares	ps	conservative
chinky	ps	conservative
choad	asm	inclusive
choads	asm	inclusive
choc ice	ps	inclusive
cholo	ps	inclusive
cholos	ps	inclusive
chrislam	ps	inclusive
chrislamic	ps	inclusive
chrislamics	ps	inclusive
chrislams	ps	inclusive
christ-killer	ps	conservative
christard	ps	conservative
christards	ps	conservative
christcuck	ps	conservative
christcucks	ps	conservative
christer	ps	inclusive
christers	ps	inclusive
christfag	ps	conservative
christfags	ps	conservative
christkike	ps	conservative
christkikes	ps	conservative
chuhra	ps	conservative
chuhras	ps	conservative
clown	qas	inclusive
clowns	qas	inclusive
clusterfuck	asm	inclusive
clusterfucks	asm	inclusive
coal burner	ps	conservative
cock	asm	inclusive
cock gobbler	cds	inclusive
cockblock	cds	inclusive
cockblocker	cds	inclusive
cockblockers	cds	inclusive
cockblocks	cds	inclusive
cockface	cds	inclusive
cockfaces	cds	inclusive
cockfuck	asm	inclusive
cockfucker	asm	inclusive
cockfuckers	asm	inclusive
cockfucks	asm	inclusive
cockhead	cds	inclusive
cockheads	cds	inclusive
cocklicker	cds	inclusive
cocklickers	cds	inclusive
cockmaster	cds	inclusive
cockmasters	cds	inclusive
cockmonkey	cds	inclusive
cockmonkeys	cds	inclusive
cockmunch	cds	inclusive
cockmuncher	cds	inclusive
cockmunchers	cds	inclusive
cockmunches	cds	inclusive
cocks	asm	inclusive
cockshit	cds	inclusive
cockshits	cds	inclusive
cockslap	cds	inclusive
cockslaps	cds	inclusive
cocksmith	cds	inclusive
cocksmiths	cds	inclusive
cocksuck	cds	inclusive
cocksucker	asm	inclusive
cocksuckers	asm	inclusive
cocksucking	cds	inclusive
cocksuckings	cds	inclusive
cocksucks	cds	inclusive
cocktease	cds	inclusive
cockteases	cds	inclusive
commie	dmc	inclusive
commies	dmc	inclusive
coolie	ps	conservative
coolies	ps	conservative
coon	ps	conservative
cooneries	ps	inclusive
coonery	ps	inclusive
coons	ps	conservative
cotton picker	ps	conservative
cow piss drinker	ps	conservative
cowards	qas	inclusive
cracka	ps	conservative
crackah	ps	conservative
crackahs	ps	conservative
crackas	ps	conservative
cracker	ps	conservative
cracker-ass	ps	conservative
crackers	ps	conservative
craka	ps	conservative
crakas	ps	conservative
crap	cds	inclusive
crapaud	ps	inclusive
crapauds	ps	inclusive
crapper	cds	inclusive
crappers	cds	inclusive
crappy	cds	inclusive
craps	cds	inclusive
cripple	ddf	inclusive
crippled	ddf	inclusive
cripples	ddf	inclusive
cross-worshipper	ps	inclusive
crossback	ps	inclusive
crossbacks	ps	inclusive
cuck	dmc	inclusive
cucks	dmc	inclusive
cullud pusson	ps	inclusive
cum	asm	inclusive
cumbucket	pr	inclusive
cumbuckets	pr	inclusive
cumdump	pr	inclusive
cumdumps	pr	inclusive
cumming	asm	inclusive
cums	asm	inclusive
cumslut	pr	inclusive
cumsluts	pr	inclusive
cumstain	cds	inclusive
cumstains	cds	inclusive
cumwhore	pr	inclusive
cumwhores	pr	inclusive
cunt	asf	conservative
cuntbag	asf	inclusive
cuntbags	asf	inclusive
cuntface	asf	inclusive
cuntfaces	asf	inclusive
cuntfuck	asm	inclusive
cuntfucker	asm	inclusive
cuntfuckers	asm	inclusive
cuntfucks	asm	inclusive
cunthole	asf	inclusive
cuntholes	asf	inclusive
cunties	asf	inclusive
cuntlicker	asf	inclusive
cuntlickers	asf	inclusive
cuntlicking	asf	inclusive
cuntlickings	asf	inclusive
cuntrag	asf	inclusive
cuntrags	asf	inclusive
cunts	asf	conservative
cuntslut	asf	inclusive
cuntsluts	asf	inclusive
cuntsucker	asf	inclusive
cuntsuckers	asf	inclusive
cuntwaffle	asf	inclusive
cuntwaffles	asf	inclusive
cunty	asf	inclusive
curry nigger	ps	conservative
curry-muncher	ps	conservative
currycel	ps	inclusive
currycels	ps	inclusive
currywhore	ps	conservative
currywhores	ps	conservative
dago	ps	conservative
dagos	ps	conservative
dammit	svp	inclusive
dammits	svp	inclusive
damn	svp	inclusive
damned	svp	inclusive
damns	svp	inclusive
darkey	ps	conservative
darkeys	ps	conservative
darkie	ps	conservative
darkies	ps	conservative
degenerate	qas	inclusive
degenerates	qas	inclusive
deutschbag	ps	conservative
deutschbags	ps	conservative
diaperhead	ps	conservative
diaperheads	ps	conservative
dick	asm	inclusive
dick pic	asm	inclusive
dick-head	asm	inclusive
dickbag	asm	inclusive
dickbags	asm	inclusive
dickbrain	asm	inclusive
dickbrains	asm	inclusive
dickface	asm	inclusive
dickfaces	asm	inclusive
dickfuck	asm	inclusive
dickfucks	asm	inclusive
dickhead	asm	inclusive
dickheads	asm	inclusive
dickhole	asm	inclusive
dickholes	asm	inclusive
dickish	asm	inclusive
dickless	asm	inclusive
dicklick	asm	inclusive
dicklicker	asm	inclusive
dicklickers	asm	inclusive
dicklicks	asm	inclusive
dickpic	asm	inclusive
dickpics	asm	inclusive
dicks	asm	inclusive
dickslap	asm	inclusive
dickslaps	asm	inclusive
dickwad	asm	inclusive
dickwads	asm	inclusive
dickweasel	asm	inclusive
dickweasels	asm	inclusive
dickweed	asm	inclusive
dickweeds	asm	inclusive
diesel dyke	om	conservative
dildo	asm	inclusive
dildos	asm	inclusive
dilf	qas	inclusive
dilfs	qas	inclusive
dillweed	cds	inclusive
dillweeds	cds	inclusive
dimwit	ddp	inclusive
dimwits	ddp	inclusive
dindu nuffin	ps	conservative
dingleberries	cds	inclusive
dingleberry	cds	inclusive
dink	asm	inclusive
dinks	asm	inclusive
dipshit	cds	inclusive
dipshits	cds	inclusive
dipstick	ddp	inclusive
dipsticks	ddp	inclusive
dirty	qas	inclusive
disgusting	qas	inclusive
disgustings	qas	inclusive
doctors and engineers	is	inclusive
doofus	ddp	inclusive
doofuses	ddp	inclusive
dothead	ps	conservative
dotheads	ps	conservative
douche	cds	inclusive
douchebag	cds	inclusive
douchebags	cds	inclusive
douchecanoe	cds	inclusive
douchecanoes	cds	inclusive
douches	cds	inclusive
douchewaffle	cds	inclusive
douchewaffles	cds	inclusive
douchey	cds	inclusive
doucheys	cds	inclusive
dumb	ddp	inclusive
dumb-ass	ddp	inclusive
dumbass	ddp	inclusive
dumbasses	ddp	inclusive
dumbest	ddp	inclusive
dumbests	ddp	inclusive
dumbfuck	asm	inclusive
dumbfucks	asm	inclusive
dumbs	ddp	inclusive
dumbshit	cds	inclusive
dumbshits	cds	inclusive
dune coon	ps	conservative
durka durka	ps	conservative
dyke	om	conservative
dyke out	om	inclusive
dykephobia	om	inclusive
dykephobias	om	inclusive
dykeries	om	inclusive
dykery	om	inclusive
dykes	om	conservative
dykey	om	conservative
dykeys	om	conservative
e-thot	pr	conservative
eye-tie	ps	conservative
eyetie	ps	conservative
eyeties	ps	conservative
fag	om	conservative
fag-bash	om	conservative
fagging	om	conservative
faggings	om	conservative
faggit	om	conservative
faggits	om	conservative
faggot	om	conservative
faggot marriage	om	conservative
faggoties	om	conservative
faggotries	om	conservative
faggotry	om	conservative
faggots	om	conservative
faggoty	om	conservative
faggy	om	conservative
fagmo	om	conservative
fagmos	om	conservative
fagot	om	conservative
fagots	om	conservative
fags	om	conservative
fagtard	om	conservative
fagtards	om	conservative
fannies	asf	inclusive
fanny	asf	inclusive
farm nigger	ps	conservative
fartknocker	cds	inclusive
fartknockers	cds	inclusive
fat	ddf	inclusive
fat-ass	ddf	inclusive
fatbutt	ddf	inclusive
fatbutts	ddf	inclusive
fatfuck	asm	inclusive
fatfucks	asm	inclusive
fatherfucker	asm	conservative
fatherfuckers	asm	conservative
fats	ddf	inclusive
fetus fetishist	dmc	inclusive
filth	cds	inclusive
filths	cds	inclusive
filthy	qas	inclusive
fingerfuck	asm	inclusive
fingerfucker	asm	inclusive
fingerfuckers	asm	inclusive
fingerfucks	asm	inclusive
fire-worshipper	ps	inclusive
flamer	om	inclusive
flamers	om	inclusive
flange	asf	inclusive
flanges	asf	inclusive
fool	ddp	inclusive
fools	ddp	inclusive
footfuck	asm	inclusive
footfucker	asm	inclusive
footfuckers	asm	inclusive
footfucks	asm	inclusive
forced-birther	dmc	inclusive
four-eyed	ddf	inclusive
freaks	qas	inclusive
fritz	ps	inclusive
fritzes	ps	inclusive
frogeater	ps	conservative
frogeaters	ps	conservative
fuck	asm	inclusive
fucka	asm	inclusive
fuckable	asm	inclusive
fuckaduck	asm	inclusive
fuckaducks	asm	inclusive
fuckas	asm	inclusive
fuckass	asm	inclusive
fuckasses	asm	inclusive
fuckbag	asm	inclusive
fuckbags	asm	inclusive
fuckbook	asm	inclusive
fuckbooks	asm	inclusive
fuckbrain	asm	inclusive
fuckbrains	asm	inclusive
fucked	asm	inclusive
fucken	asm	inclusive
fuckening	asm	inclusive
fuckenings	asm	inclusive
fuckens	asm	inclusive
fucker	asm	inclusive
fuckers	asm	inclusive
fuckface	asm	inclusive
fuckfaces	asm	inclusive
fuckfest	asm	inclusive
fuckfests	asm	inclusive
fuckfriend	asm	inclusive
fuckfriends	asm	inclusive
fuckhead	asm	inclusive
fuckheads	asm	inclusive
fuckhole	asm	inclusive
fuckholes	asm	inclusive
fuckies	asm	inclusive
fuckin	asm	inclusive
fucking	asm	inclusive
fuckings	asm	inclusive
fuckins	asm	inclusive
fuckities	asm	inclusive
fuckity	asm	inclusive
fuckload	asm	inclusive
fuckloads	asm	inclusive
fucknugget	asm	inclusive
fucknuggets	asm	inclusive
fucknut	asm	inclusive
fucknuts	asm	inclusive
fucko	asm	inclusive
fuckoff	asm	inclusive
fuckoffs	asm	inclusive
fuckos	asm	inclusive
fuckpig	asm	conservative
fuckpigs	asm	conservative
fucks	asm	inclusive
fuckshit	asm	inclusive
fuckshits	asm	inclusive
fuckstain	asm	inclusive
fuckstains	asm	inclusive
fuckstick	asm	inclusive
fucksticks	asm	inclusive
fucktard	asm	inclusive
fucktards	asm	inclusive
fuckup	asm	inclusive
fuckups	asm	inclusive
fuckwad	asm	inclusive
fuckwads	asm	inclusive
fuckwit	asm	inclusive
fuckwits	asm	inclusive
fucky	asm	inclusive
fudge packer	om	conservative
fugly	ddf	inclusive
full retard	ddp	conservative
gae	om	conservative
gaes	om	conservative
gangbanger	re	inclusive
gangbangers	re	inclusive
garbage	cds	inclusive
garbages	cds	inclusive
gay disease	om	conservative
gayboy	om	conservative
gayboys	om	conservative
gayfag	om	conservative
gayfags	om	conservative
gaylord	om	conservative
gaylords	om	conservative
gendie	om	conservative
gendies	om	conservative
ghetto	is	inclusive
ghettos	is	inclusive
ghey	om	conservative
gheys	om	conservative
giaour	ps	inclusive
giaours	ps	inclusive
gigaboo	ps	conservative
gigaboos	ps	conservative
gimp	ddf	inclusive
gimps	ddf	inclusive
gimpy	ddf	inclusive
ginzo	ps	conservative
ginzos	ps	conservative
globohomo	om	conservative
globohomos	om	conservative
goatfuck	asm	inclusive
goatfucker	ps	conservative
goatfuckers	ps	conservative
goatfucks	asm	inclusive
god damn	svp	inclusive
god-damned	svp	inclusive
goddammit	svp	inclusive
goddammits	svp	inclusive
goddamn	svp	inclusive
goddamned	svp	inclusive
goddamnit	svp	inclusive
goddamnits	svp	inclusive
goddamns	svp	inclusive
godsdamn	svp	inclusive
godsdamns	svp	inclusive
golliwog	ps	conservative
golliwogs	ps	conservative
gook	ps	conservative
gookies	ps	conservative
gooks	ps	conservative
gooky	ps	conservative
goy	ps	inclusive
goys	ps	inclusive
grandmotherfucker	asm	inclusive
grandmotherfuckers	asm	inclusive
greaseball	ps	conservative
greaseballs	ps	conservative
gringo	ps	inclusive
gringolandia	ps	inclusive
gringolandias	ps	inclusive
gringos	ps	inclusive
