id	pos	category	stereotype	lemma	level
EN00001	n	an	no	animals	inclusive
EN00002	n	an	no	biatch	inclusive
EN00003	n	an	no	biatches	inclusive
EN00004	n	an	no	bitch	inclusive
EN00005	v	an	no	bitched	inclusive
EN00006	n	an	no	bitches	inclusive
EN00007	n	an	no	bitchface	inclusive
EN00008	n	an	no	bitchfaces	inclusive
EN00009	n	an	no	bitching	inclusive
EN00010	n	an	no	bitchings	inclusive
EN00011	n	an	no	bitchy	inclusive
EN00012	n	an	no	pig	inclusive
EN00013	n	an	no	pigs	inclusive
EN00014	n	asf	no	axe wound	inclusive
EN00015	n	asf	no	cunt	conservative
EN00016	n	asf	no	cuntbag	inclusive
EN00017	n	asf	no	cuntbags	inclusive
EN00018	n	asf	no	cuntface	inclusive
EN00019	n	asf	no	cuntfaces	inclusive
EN00020	n	asf	no	cunthole	inclusive
EN00021	n	asf	no	cuntholes	inclusive
EN00022	n	asf	no	cunties	inclusive
EN00023	n	asf	no	cuntlicker	inclusive
EN00024	n	asf	no	cuntlickers	inclusive
EN00025	n	asf	no	cuntlicking	inclusive
EN00026	n	asf	no	cuntlickings	inclusive
EN00027	n	asf	no	cuntrag	inclusive
EN00028	n	asf	no	cuntrags	inclusive
EN00029	n	asf	no	cunts	conservative
EN00030	n	asf	no	cuntslut	inclusive
EN00031	n	asf	no	cuntsluts	inclusive
EN00032	n	asf	no	cuntsucker	inclusive
EN00033	n	asf	no	cuntsuckers	inclusive
EN00034	n	asf	no	cuntwaffle	inclusive
EN00035	n	asf	no	cuntwaffles	inclusive
EN00036	a	asf	no	cunty	inclusive
EN00037	n	asf	no	fannies	inclusive
EN00038	n	asf	no	fanny	inclusive
EN00039	n	asf	no	flange	inclusive
EN00040	n	asf	no	flanges	inclusive
EN00041	n	asf	no	poon	inclusive
EN00042	n	asf	no	poons	inclusive
EN00043	n	asf	no	poontang	inclusive
EN00044	n	asf	no	poontangs	inclusive
EN00045	n	asf	no	punani	inclusive
EN00046	n	asf	no	punanis	inclusive
EN00047	n	asf	no	puss	inclusive
EN00048	n	asf	no	pusses	inclusive
EN00049	n	asf	no	pussies	inclusive
EN00050	n	asf	no	pussy	inclusive
EN00051	n	asf	no	pussylicker	inclusive
EN00052	n	asf	no	pussylickers	inclusive
EN00053	n	asf	no	queef	inclusive
EN00054	n	asf	no	queefs	inclusive
EN00055	n	asf	no	quim	inclusive
EN00056	n	asf	no	quims	inclusive
EN00057	n	asf	no	rag-box	inclusive
EN00058	n	asf	no	shitcunt	inclusive
EN00059	n	asf	no	shitcunts	inclusive
EN00060	n	asf	no	snatch	inclusive
EN00061	n	asf	no	snatches	inclusive
EN00062	n	asf	no	thundercunt	inclusive
EN00063	n	asf	no	thundercunts	inclusive
EN00064	n	asf	no	tit	inclusive
EN00065	n	asf	no	titjob	inclusive
EN00066	n	asf	no	titjobs	inclusive
EN00067	n	asf	no	tits	inclusive
EN00068	n	asf	no	titties	inclusive
EN00069	n	asf	no	titty	inclusive
EN00070	n	asf	no	titwank	inclusive
EN00071	n	asf	no	titwanks	inclusive
EN00072	n	asf	no	twat	inclusive
EN00073	n	asf	no	twathead	inclusive
EN00074	n	asf	no	twatheads	inclusive
EN00075	n	asf	no	twats	inclusive
EN00076	n	asf	no	twatties	inclusive
EN00077	a	asf	no	twatty	inclusive
EN00078	n	asf	no	twatwaffle	inclusive
EN00079	n	asf	no	twatwaffles	inclusive
EN00080	n	asf	no	vag	inclusive
EN00081	n	asf	no	vags	inclusive
EN00082	n	asm	no	arse	inclusive
EN00083	n	asm	no	arsehole	inclusive
EN00084	n	asm	no	arseholes	inclusive
EN00085	n	asm	no	arses	inclusive
EN00086	n	asm	no	ass	inclusive
EN00087	n	asm	no	assbag	inclusive
EN00088	n	asm	no	assbags	inclusive
EN00089	n	asm	no	assbutt	inclusive
EN00090	n	asm	no	assbutts	inclusive
EN00091	n	asm	no	assclown	inclusive
EN00092	n	asm	no	assclowns	inclusive
EN00093	n	asm	no	asses	inclusive
EN00094	n	asm	no	assface	inclusive
EN00095	n	asm	no	assfaces	inclusive
EN00096	n	asm	no	assfuck	inclusive
EN00097	n	asm	no	assfucker	inclusive
EN00098	n	asm	no	assfuckers	inclusive
EN00099	v	asm	no	assfucking	inclusive
EN00100	n	asm	no	assfuckings	inclusive
EN00101	n	asm	no	assfucks	inclusive
EN00102	n	asm	no	asshat	inclusive
EN00103	n	asm	no	asshats	inclusive
EN00104	n	asm	no	asshead	inclusive
EN00105	n	asm	no	assheads	inclusive
EN00106	n	asm	no	asshole	inclusive
EN00107	n	asm	no	assholes	inclusive
EN00108	n	asm	no	assman	inclusive
EN00109	n	asm	no	assmans	inclusive
EN00110	n	asm	no	assmunch	inclusive
EN00111	n	asm	no	assmuncher	inclusive
EN00112	n	asm	no	assmunchers	inclusive
EN00113	n	asm	no	assmunches	inclusive
EN00114	n	asm	no	asswad	inclusive
EN00115	n	asm	no	asswads	inclusive
EN00116	n	asm	no	asswhore	inclusive
EN00117	n	asm	no	asswhores	inclusive
EN00118	n	asm	no	asswipe	inclusive
EN00119	n	asm	no	asswipes	inclusive
EN00120	n	asm	no	ball sack	inclusive
EN00121	n	asm	no	ballbag	inclusive
EN00122	n	asm	no	ballbags	inclusive
EN00123	n	asm	no	balls	inclusive
EN00124	n	asm	no	ballsucker	inclusive
EN00125	n	asm	no	ballsuckers	inclusive
EN00126	n	asm	no	bellend	inclusive
EN00127	n	asm	no	bellends	inclusive
EN00128	n	asm	no	bollock	inclusive
EN00129	n	asm	no	bollocks	inclusive
EN00130	n	asm	no	bollok	inclusive
EN00131	n	asm	no	bolloks	inclusive
EN00132	n	asm	no	brainfuck	inclusive
EN00133	n	asm	no	brainfucks	inclusive
EN00134	n	asm	no	brotherfucker	conservative
EN00135	n	asm	no	brotherfuckers	conservative
EN00136	n	asm	no	bugger	inclusive
EN00137	n	asm	no	buggered	inclusive
EN00138	n	asm	no	buggering	inclusive
EN00139	n	asm	no	buggers	inclusive
EN00140	n	asm	no	bumblefuck	inclusive
EN00141	n	asm	no	bumblefucks	inclusive
EN00142	n	asm	no	bumfuck	inclusive
EN00143	n	asm	no	bumfucks	inclusive
EN00144	n	asm	no	buttface	inclusive
EN00145	n	asm	no	buttfaces	inclusive
EN00146	n	asm	no	buttfuck	inclusive
EN00147	n	asm	no	buttfucker	inclusive
EN00148	n	asm	no	buttfuckers	inclusive
EN00149	n	asm	no	buttfucks	inclusive
EN00150	n	asm	no	butthead	inclusive
EN00151	n	asm	no	buttheads	inclusive
EN00152	n	asm	no	butthole	inclusive
EN00153	n	asm	no	buttholes	inclusive
EN00154	n	asm	no	buttmunch	inclusive
EN00155	n	asm	no	buttmuncher	inclusive
EN00156	n	asm	no	buttmunchers	inclusive
EN00157	n	asm	no	buttmunches	inclusive
EN00158	n	asm	no	buttwipe	inclusive
EN00159	n	asm	no	buttwipes	inclusive
EN00160	n	asm	no	choad	inclusive
EN00161	n	asm	no	choads	inclusive
EN00162	n	asm	no	clusterfuck	inclusive
EN00163	n	asm	no	clusterfucks	inclusive
EN00164	n	asm	no	cock	inclusive
EN00165	n	asm	no	cockfuck	inclusive
EN00166	n	asm	no	cockfucker	inclusive
EN00167	n	asm	no	cockfuckers	inclusive
EN00168	n	asm	no	cockfucks	inclusive
EN00169	n	asm	no	cocks	inclusive
EN00170	n	asm	no	cocksucker	inclusive
EN00171	n	asm	no	cocksuckers	inclusive
EN00172	n	asm	no	cum	inclusive
EN00173	n	asm	no	cumming	inclusive
EN00174	n	asm	no	cums	inclusive
EN00175	n	asm	no	cuntfuck	inclusive
EN00176	n	asm	no	cuntfucker	inclusive
EN00177	n	asm	no	cuntfuckers	inclusive
EN00178	n	asm	no	cuntfucks	inclusive
EN00179	n	asm	no	dick	inclusive
EN00180	n	asm	no	dick pic	inclusive
EN00181	n	asm	no	dick-head	inclusive
EN00182	n	asm	no	dickbag	inclusive
EN00183	n	asm	no	dickbags	inclusive
EN00184	n	asm	no	dickbrain	inclusive
EN00185	n	asm	no	dickbrains	inclusive
EN00186	n	asm	no	dickface	inclusive
EN00187	n	asm	no	dickfaces	inclusive
EN00188	n	asm	no	dickfuck	inclusive
EN00189	n	asm	no	dickfucks	inclusive
EN00190	n	asm	no	dickhead	inclusive
EN00191	n	asm	no	dickheads	inclusive
EN00192	n	asm	no	dickhole	inclusive
EN00193	n	asm	no	dickholes	inclusive
EN00194	a	asm	no	dickish	inclusive
EN00195	a	asm	no	dickless	inclusive
EN00196	n	asm	no	dicklick	inclusive
EN00197	n	asm	no	dicklicker	inclusive
EN00198	n	asm	no	dicklickers	inclusive
EN00199	n	asm	no	dicklicks	inclusive
EN00200	n	asm	no	dickpic	inclusive
EN00201	n	asm	no	dickpics	inclusive
EN00202	n	asm	no	dicks	inclusive
EN00203	n	asm	no	dickslap	inclusive
EN00204	n	asm	no	dickslaps	inclusive
EN00205	n	asm	no	dickwad	inclusive
EN00206	n	asm	no	dickwads	inclusive
EN00207	n	asm	no	dickweasel	inclusive
EN00208	n	asm	no	dickweasels	inclusive
EN00209	n	asm	no	dickweed	inclusive
EN00210	n	asm	no	dickweeds	inclusive
EN00211	n	asm	no	dildo	inclusive
EN00212	n	asm	no	dildos	inclusive
EN00213	n	asm	no	dink	inclusive
EN00214	n	asm	no	dinks	inclusive
EN00215	n	asm	no	dumbfuck	inclusive
EN00216	n	asm	no	dumbfucks	inclusive
EN00217	n	asm	no	fatfuck	inclusive
EN00218	n	asm	no	fatfucks	inclusive
EN00219	n	asm	no	fatherfucker	conservative
EN00220	n	asm	no	fatherfuckers	conservative
EN00221	n	asm	no	fingerfuck	inclusive
EN00222	n	asm	no	fingerfucker	inclusive
EN00223	n	asm	no	fingerfuckers	inclusive
EN00224	n	asm	no	fingerfucks	inclusive
EN00225	n	asm	no	footfuck	inclusive
EN00226	n	asm	no	footfucker	inclusive
EN00227	n	asm	no	footfuckers	inclusive
EN00228	n	asm	no	footfucks	inclusive
EN00229	n	asm	no	fuck	inclusive
EN00230	n	asm	no	fucka	inclusive
