lemma	category	level
abo	ps	conservative
abos	ps	conservative
africoon	ps	conservative
africoons	ps	conservative
africunt	ps	conservative
africunts	ps	conservative
afrocoon	ps	conservative
afrocoons	ps	conservative
ah lian	ps	inclusive
ali baba	ps	conservative
americoon	ps	conservative
americoons	ps	conservative
americuck	ps	conservative
americucks	ps	conservative
americunt	ps	conservative
americunts	ps	conservative
amerimutt	ps	conservative
amerimutts	ps	conservative
anchor baby	ps	conservative
animals	an	inclusive
annoying	qas	inclusive
annoyings	qas	inclusive
anti-choice	dmc	inclusive
anti-choicer	dmc	inclusive
apefrican	ps	conservative
apefricans	ps	conservative
apeshit	cds	conservative
apeshits	cds	conservative
apple	ps	inclusive
apples	ps	inclusive
arse	asm	conservative
arsehead	cds	conservative
arseheads	cds	conservative
arsehole	asm	conservative
arseholes	asm	conservative
arses	asm	conservative
asajew	ps	conservative
asajews	ps	conservative
ass	asm	conservative
assbag	asm	conservative
assbags	asm	conservative
assbutt	asm	conservative
assbutts	asm	conservative
assclown	asm	conservative
assclowns	asm	conservative
asses	asm	conservative
assface	asm	conservative
assfaces	asm	conservative
assfuck	asm	conservative
assfucker	asm	conservative
assfuckers	asm	conservative
assfucking	asm	conservative
assfuckings	asm	conservative
assfucks	asm	conservative
asshat	asm	conservative
asshats	asm	conservative
asshead	asm	conservative
assheads	asm	conservative
asshole	asm	conservative
assholes	asm	conservative
assman	asm	conservative
assmans	asm	conservative
assmunch	asm	conservative
assmuncher	asm	conservative
assmunchers	asm	conservative
assmunches	asm	conservative
asswad	asm	conservative
asswads	asm	conservative
asswhore	asm	conservative
asswhores	asm	conservative
asswipe	asm	conservative
asswipes	asm	conservative
autist	ddp	conservative
autists	ddp	conservative
axe wound	asf	conservative
bagel bender	ps	conservative
ball sack	asm	conservative
ballbag	asm	conservative
ballbags	asm	conservative
balls	asm	conservative
ballsucker	asm	conservative
ballsuckers	asm	conservative
banana	ps	inclusive
bananas	ps	inclusive
bastard	cds	inclusive
bastards	cds	inclusive
beaner	ps	conservative
beaners	ps	conservative
bed wench	ps	conservative
bellend	asm	conservative
bellends	asm	conservative
bhakt	ps	inclusive
bhakts	ps	inclusive
bi-dyke	om	inclusive
biatch	an	conservative
biatches	an	conservative
bible basher	ps	inclusive
bible thumper	ps	inclusive
bimbo	pr	inclusive
bimbos	pr	inclusive
binghi	ps	inclusive
binghis	ps	inclusive
bint	pr	inclusive
bints	pr	inclusive
bitch	an	conservative
bitched	an	conservative
bitches	an	conservative
bitchface	an	conservative
bitchfaces	an	conservative
bitching	an	conservative
bitchings	an	conservative
bitchy	an	conservative
bix nood	ps	conservative
blackfellow	ps	inclusive
blackfellows	ps	inclusive
blackies	ps	conservative
blacky	ps	conservative
bloodclaat	cds	conservative
bloodclaats	cds	conservative
bloody	cds	conservative
boche	ps	inclusive
boches	ps	inclusive
bohunk	ps	inclusive
bohunks	ps	inclusive
bollock	asm	conservative
bollocks	asm	conservative
bollok	asm	conservative
bolloks	asm	conservative
boong	ps	conservative
boonga	ps	conservative
boongas	ps	conservative
boongs	ps	conservative
bootlip	ps	conservative
bootlipped	ps	conservative
bootlips	ps	conservative
bootyhole	asm	conservative
bootyholes	asm	conservative
border jumper	ps	conservative
boydyke	om	inclusive
boydykes	om	inclusive
brainfuck	asm	conservative
brainfucks	asm	conservative
brillo pad	ps	inclusive
brotherfucker	asm	conservative
brotherfuckers	asm	conservative
buddhahead	ps	conservative
buddhaheads	ps	conservative
bugger	asm	conservative
buggered	asm	conservative
buggering	asm	conservative
buggers	asm	conservative
bull dyke	om	conservative
bullcrap	cds	inclusive
bullcraps	cds	inclusive
bullshit	cds	conservative
bullshits	cds	conservative
bumblefuck	asm	conservative
bumblefucks	asm	conservative
bumfuck	asm	conservative
bumfucks	asm	conservative
burrhead	ps	conservative
burrheads	ps	conservative
buttface	asm	conservative
buttfaces	asm	conservative
buttfuck	asm	conservative
buttfucker	asm	conservative
buttfuckers	asm	conservative
buttfucks	asm	conservative
butthead	asm	conservative
buttheads	asm	conservative
butthole	asm	conservative
buttholes	asm	conservative
buttmunch	asm	conservative
buttmuncher	asm	conservative
buttmunchers	asm	conservative
buttmunches	asm	conservative
buttwipe	asm	conservative
buttwipes	asm	conservative
buybull	ps	inclusive
buybulls	ps	inclusive
cac	ps	inclusive
cacs	ps	inclusive
camel jockey	ps	conservative
camelfucker	ps	conservative
camelfuckers	ps	conservative
camwhore	pr	inclusive
camwhores	pr	inclusive
casper	ps	inclusive
caspers	ps	inclusive
celebretard	dmc	inclusive
celebretards	dmc	inclusive
chicom	ps	inclusive
chicoms	ps	inclusive
chigga	ps	conservative
chiggas	ps	conservative
child-fucker	re	inclusive
chimp out	ps	conservative
chimpout	ps	conservative
chimpouts	ps	conservative
chinaboy	ps	conservative
chinaboys	ps	conservative
chinaman	ps	conservative
chinaman's chance	ps	conservative
chinamans	ps	conservative
chinee	ps	conservative
chinees	ps	conservative
chinese virus	ps	conservative
ching chong	ps	conservative
chinkies	ps	conservative
chinkland	ps	conservative
chinklands	ps	conservative
chinkware	ps	conservative
chinkwares	ps	conservative
chinky	ps	conservative
choad	asm	conservative
choads	asm	conservative
choc ice	ps	inclusive
cholo	ps	inclusive
cholos	ps	inclusive
chrislam	ps	inclusive
chrislamic	ps	inclusive
chrislamics	ps	inclusive
chrislams	ps	inclusive
christ-killer	ps	conservative
christard	ps	conservative
christards	ps	conservative
christcuck	ps	conservative
christcucks	ps	conservative
christer	ps	inclusive
christers	ps	inclusive
christfag	ps	conservative
christfags	ps	conservative
christkike	ps	conservative
christkikes	ps	conservative
chuhra	ps	conservative
chuhras	ps	conservative
clown	qas	inclusive
clowns	qas	inclusive
clusterfuck	asm	conservative
clusterfucks	asm	conservative
coal burner	ps	conservative
cock	asm	conservative
cock gobbler	cds	conservative
cockblock	cds	conservative
cockblocker	cds	conservative
cockblockers	cds	conservative
cockblocks	cds	conservative
cockface	cds	conservative
cockfaces	cds	conservative
cockfuck	asm	conservative
cockfucker	asm	conservative
cockfuckers	asm	conservative
cockfucks	asm	conservative
cockhead	cds	conservative
cockheads	cds	conservative
cocklicker	cds	conservative
cocklickers	cds	conservative
cockmaster	cds	conservative
cockmasters	cds	conservative
cockmonkey	cds	conservative
cockmonkeys	cds	conservative
cockmunch	cds	conservative
cockmuncher	cds	conservative
cockmunchers	cds	conservative
cockmunches	cds	conservative
cocks	asm	conservative
cockshit	cds	conservative
cockshits	cds	conservative
cockslap	cds	conservative
cockslaps	cds	conservative
cocksmith	cds	conservative
cocksmiths	cds	conservative
cocksuck	cds	conservative
cocksucker	asm	conservative
cocksuckers	asm	conservative
cocksucking	cds	conservative
cocksuckings	cds	conservative
cocksucks	cds	conservative
cocktease	cds	conservative
cockteases	cds	conservative
commie	dmc	inclusive
commies	dmc	inclusive
coolie	ps	conservative
coolies	ps	conservative
coon	ps	conservative
cooneries	ps	inclusive
coonery	ps	inclusive
coons	ps	conservative
cotton picker	ps	conservative
cow piss drinker	ps	conservative
cowards	qas	inclusive
cracka	ps	conservative
crackah	ps	conservative
crackahs	ps	conservative
crackas	ps	conservative
cracker	ps	conservative
cracker-ass	ps	conservative
crackers	ps	conservative
crackhead	cds	conservative
crackheads	cds	conservative
craka	ps	conservative
crakas	ps	conservative
crap	cds	inclusive
crapaud	ps	inclusive
crapauds	ps	inclusive
crapper	cds	inclusive
crappers	cds	inclusive
crappy	cds	conservative
craps	cds	inclusive
cretin	ddp	conservative
cretins	ddp	conservative
cripple	ddf	inclusive
crippled	ddf	inclusive
cripples	ddf	inclusive
cross-worshipper	ps	inclusive
crossback	ps	inclusive
crossbacks	ps	inclusive
cuck	dmc	inclusive
cucks	dmc	inclusive
cullud pusson	ps	inclusive
cum	asm	conservative
cumbucket	pr	inclusive
cumbuckets	pr	inclusive
cumdump	pr	inclusive
cumdumps	pr	inclusive
cumming	asm	conservative
cums	asm	conservative
cumslut	pr	inclusive
cumsluts	pr	inclusive
cumstain	cds	conservative
cumstains	cds	conservative
cumwhore	pr	inclusive
cumwhores	pr	inclusive
cunt	asf	conservative
cuntbag	asf	conservative
cuntbags	asf	conservative
cuntface	asf	conservative
cuntfaces	asf	conservative
cuntfuck	asm	conservative
cuntfucker	asm	conservative
cuntfuckers	asm	conservative
cuntfucks	asm	conservative
cunthole	asf	conservative
cuntholes	asf	conservative
cunties	asf	conservative
cuntlicker	asf	conservative
cuntlickers	asf	conservative
cuntlicking	asf	conservative
cuntlickings	asf	conservative
cuntrag	asf	conservative
cuntrags	asf	conservative
cunts	asf	conservative
cuntslut	asf	conservative
cuntsluts	asf	conservative
cuntsucker	asf	conservative
cuntsuckers	asf	conservative
cuntwaffle	asf	conservative
cuntwaffles	asf	conservative
cunty	asf	conservative
curry nigger	ps	conservative
curry-muncher	ps	conservative
currycel	ps	inclusive
currycels	ps	inclusive
currywhore	ps	conservative
currywhores	ps	conservative
dago	ps	conservative
dagos	ps	conservative
dammit	svp	inclusive
dammits	svp	inclusive
damn	svp	inclusive
damned	svp	inclusive
damns	svp	inclusive
darkey	ps	conservative
darkeys	ps	conservative
darkie	ps	conservative
darkies	ps	conservative
degenerate	qas	inclusive
degenerates	qas	inclusive
deutschbag	ps	conservative
deutschbags	ps	conservative
diaperhead	ps	conservative
diaperheads	ps	conservative
dick	asm	conservative
dick pic	asm	conservative
dick-head	asm	conservative
dickbag	asm	conservative
dickbags	asm	conservative
dickbrain	asm	conservative
dickbrains	asm	conservative
dickface	asm	conservative
dickfaces	asm	conservative
dickfuck	asm	conservative
dickfucks	asm	conservative
dickhead	asm	conservative
dickheads	asm	conservative
dickhole	asm	conservative
dickholes	asm	conservative
dickish	asm	conservative
dickless	asm	conservative
dicklick	asm	conservative
dicklicker	asm	conservative
dicklickers	asm	conservative
dicklicks	asm	conservative
dickpic	asm	conservative
dickpics	asm	conservative
dicks	asm	conservative
dickslap	asm	conservative
dickslaps	asm	conservative
dickwad	asm	conservative
dickwads	asm	conservative
dickweasel	asm	conservative
dickweasels	asm	conservative
dickweed	asm	conservative
dickweeds	asm	conservative
diesel dyke	om	conservative
dildo	asm	conservative
dildos	asm	conservative
dilf	qas	inclusive
dilfs	qas	inclusive
dillweed	cds	conservative
dillweeds	cds	conservative
dimwit	ddp	inclusive
dimwits	ddp	inclusive
dindu nuffin	ps	conservative
dingleberries	cds	conservative
dingleberry	cds	conservative
dink	asm	inclusive
dinks	asm	inclusive
dipshit	cds	conservative
dipshits	cds	conservative
dipstick	ddp	inclusive
dipsticks	ddp	inclusive
dirty	qas	inclusive
disgusting	qas	inclusive
disgustings	qas	inclusive
doctors and engineers	is	inclusive
doofus	ddp	inclusive
doofuses	ddp	inclusive
dothead	ps	conservative
dotheads	ps	conservative
douche	cds	conservative
douchebag	cds	conservative
douchebags	cds	conservative
douchecanoe	cds	conservative
douchecanoes	cds	conservative
douches	cds	conservative
douchewaffle	cds	conservative
douchewaffles	cds	conservative
douchey	cds	conservative
doucheys	cds	conservative
dumb	ddp	conservative
dumb-ass	ddp	conservative
dumbass	ddp	conservative
dumbasses	ddp	conservative
dumbest	ddp	conservative
dumbests	ddp	conservative
dumbfuck	asm	conservative
dumbfucks	asm	conservative
dumbs	ddp	conservative
dumbshit	cds	conservative
dumbshits	cds	conservative
dune coon	ps	conservative
durka durka	ps	conservative
dyke	om	conservative
dyke out	om	inclusive
dykephobia	om	inclusive
dykephobias	om	inclusive
dykeries	om	inclusive
dykery	om	inclusive
dykes	om	conservative
dykey	om	conservative
dykeys	om	conservative
e-thot	pr	conservative
eye-tie	ps	conservative
eyetie	ps	conservative
eyeties	ps	conservative
fag	om	conservative
fag-bash	om	conservative
fagging	om	conservative
faggings	om	conservative
faggit	om	conservative
faggits	om	conservative
faggot	om	conservative
faggot marriage	om	conservative
faggoties	om	conservative
faggotries	om	conservative
faggotry	om	conservative
faggots	om	conservative
faggoty	om	conservative
faggy	om	conservative
fagmo	om	conservative
fagmos	om	conservative
fagot	om	conservative
fagots	om	conservative
fags	om	conservative
fagtard	om	conservative
fagtards	om	conservative
fannies	asf	inclusive
fanny	asf	inclusive
farm nigger	ps	conservative
fartknocker	cds	conservative
fartknockers	cds	conservative
fat	ddf	inclusive
fat-ass	ddf	inclusive
fatbutt	ddf	inclusive
fatbutts	ddf	inclusive
fatfuck	asm	conservative
fatfucks	asm	conservative
fatherfucker	asm	conservative
fatherfuckers	asm	conservative
fats	ddf	inclusive
fetus fetishist	dmc	inclusive
filth	cds	conservative
filths	cds	conservative
filthy	qas	inclusive
fingerfuck	asm	conservative
fingerfucker	asm	conservative
fingerfuckers	asm	conservative
fingerfucks	asm	conservative
fire-worshipper	ps	inclusive
flamer	om	inclusive
flamers	om	inclusive
flange	asf	inclusive
flanges	asf	inclusive
fool	ddp	inclusive
fools	ddp	inclusive
footfuck	asm	conservative
footfucker	asm	conservative
footfuckers	asm	conservative
footfucks	asm	conservative
forced-birther	dmc	inclusive
four-eyed	ddf	inclusive
freaks	qas	inclusive
fritz	ps	inclusive
fritzes	ps	inclusive
frogeater	ps	conservative
frogeaters	ps	conservative
fuck	asm	conservative
fucka	asm	conservative
fuckable	asm	conservative
fuckaduck	asm	conservative
fuckaducks	asm	conservative
fuckas	asm	conservative
fuckass	asm	conservative
fuckasses	asm	conservative
fuckbag	asm	conservative
fuckbags	asm	conservative
fuckbook	asm	conservative
fuckbooks	asm	conservative
fuckbrain	asm	conservative
fuckbrains	asm	conservative
fucked	asm	conservative
fucken	asm	conservative
fuckening	asm	conservative
fuckenings	asm	conservative
fuckens	asm	conservative
fucker	asm	conservative
fuckers	asm	conservative
fuckface	asm	conservative
fuckfaces	asm	conservative
fuckfest	asm	conservative
fuckfests	asm	conservative
fuckfriend	asm	conservative
fuckfriends	asm	conservative
fuckhead	asm	conservative
fuckheads	asm	conservative
fuckhole	asm	conservative
fuckholes	asm	conservative
fuckies	asm	conservative
fuckin	asm	conservative
fucking	asm	conservative
fuckings	asm	conservative
fuckins	asm	conservative
fuckities	asm	conservative
fuckity	asm	conservative
fuckload	asm	conservative
fuckloads	asm	conservative
fucknugget	asm	conservative
fucknuggets	asm	conservative
fucknut	asm	conservative
fucknuts	asm	conservative
fucko	asm	conservative
fuckoff	asm	conservative
fuckoffs	asm	conservative
fuckos	asm	conservative
fuckpig	asm	conservative
fuckpigs	asm	conservative
fucks	asm	conservative
fuckshit	asm	conservative
fuckshits	asm	conservative
fuckstain	asm	conservative
fuckstains	asm	conservative
fuckstick	asm	conservative
fucksticks	asm	conservative
fucktard	asm	conservative
fucktards	asm	conservative
fuckup	asm	conservative
fuckups	asm	conservative
fuckwad	asm	conservative
fuckwads	asm	conservative
fuckwit	asm	conservative
fuckwits	asm	conservative
fucky	asm	conservative
fudge packer	om	conservative
fugly	ddf	inclusive
fuk	asm	conservative
fuks	asm	conservative
full retard	ddp	conservative
gae	om	conservative
gaes	om	conservative
gangbanger	re	inclusive
gangbangers	re	inclusive
garbage	cds	conservative
garbages	cds	conservative
gay disease	om	conservative
gayboy	om	conservative
gayboys	om	conservative
gayfag	om	conservative
gayfags	om	conservative
gaylord	om	conservative
gaylords	om	conservative
gendie	om	conservative
gendies	om	conservative
ghetto	is	inclusive
ghettos	is	inclusive
ghey	om	conservative
gheys	om	conservative
giaour	ps	inclusive
giaours	ps	inclusive
gigaboo	ps	conservative
gigaboos	ps	conservative
gimp	ddf	inclusive
gimps	ddf	inclusive
gimpy	ddf	inclusive
ginzo	ps	conservative
ginzos	ps	conservative
globohomo	om	conservative
globohomos	om	conservative
goatfuck	asm	conservative
goatfucker	ps	conservative
goatfuckers	ps	conservative
goatfucks	asm	conservative
god damn	svp	inclusive
god-damned	svp	inclusive
goddammit	svp	inclusive
goddammits	svp	inclusive
goddamn	svp	inclusive
goddamned	svp	inclusive
goddamnit	svp	inclusive
goddamnits	svp	inclusive
goddamns	svp	inclusive
godsdamn	svp	inclusive
godsdamns	svp	inclusive
golliwog	ps	conservative
golliwogs	ps	conservative
gook	ps	conservative
gookies	ps	conservative
gooks	ps	conservative
gooky	ps	conservative
goy	ps	inclusive
goys	ps	inclusive
grandmotherfucker	asm	conservative
grandmotherfuckers	asm	conservative
greaseball	ps	conservative
greaseballs	ps	conservative
gringo	ps	inclusive
gringolandia	ps	inclusive
gringolandias	ps	inclusive
gringos	ps	inclusive
guidette	ps	inclusive
guidettes	ps	inclusive
guido	ps	inclusive
guidos	ps	inclusive
gulti	ps	inclusive
gultis	ps	inclusive
gussuk	ps	inclusive
gussuks	ps	inclusive
gutter ape	ps	conservative
gweilo	ps	inclusive
gweilos	ps	inclusive
gweipo	ps	inclusive
gweipos	ps	inclusive
gypo	ps	conservative
gypos	ps	conservative
gyppo	ps	conservative
gyppos	ps	conservative
gypsies	ps	inclusive
