lemma	category	level
-sco	cds	inclusive
a calzón quitado	qas	conservative
a huevo	qas	conservative
a la chingada	qas	conservative
a la mierda	qas	conservative
a la puta calle	cds	conservative
a la verga	asm	conservative
a tomar por culo	qas	conservative
a tomar por el culo	qas	conservative
a verga	asm	conservative
abogánster	re	inclusive
aborto	qas	conservative
abortos	qas	conservative
abrochar	qas	conservative
acabada	qas	conservative
acabado	qas	conservative
acabar	qas	conservative
acartonado	dmc	inclusive
achichincle	pa	inclusive
acojonante	qas	conservative
acojonar	qas	conservative
acoplado	cds	inclusive
afilar	qas	conservative
agallas	qas	conservative
agarrar a putazos	qas	conservative
aguacatero	an	inclusive
agárramela que me crece	asm	conservative
agüevar	qas	conservative
alaraco	ddp	inclusive
aleluyo	svp	inclusive
aliade	dmc	inclusive
almeja	asf	conservative
alzado	dmc	conservative
amariconado	om	conservative
amariconar	om	conservative
amarrete	svp	inclusive
anaconda	asm	conservative
anal	qas	conservative
andarse a la chucha	asf	conservative
andoba	is	inclusive
animalucho	an	inclusive
ano	om	conservative
anormal	om	inclusive
anormales	om	inclusive
antigualla	ddf	inclusive
apendejado	ddp	conservative
apendejar	ddp	conservative
apretar el culo	qas	conservative
aquí te pillo, aquí te mato	qas	conservative
arenero	pa	inclusive
arepera	om	inclusive
argensimio	ps	inclusive
argenzuela	ps	inclusive
argolla	asf	conservative
arpía	an	conservative
arpías	an	conservative
arrapiezo	cds	inclusive
arrebatar	qas	conservative
arrecho	qas	conservative
arrimar la cebolleta	asm	conservative
artilugio	cds	inclusive
asaltacunas	dmc	inclusive
asesinato	re	conservative
asesinatos	re	conservative
asilo	cds	inclusive
asna	om	inclusive
asno	om	inclusive
asturtzale	dmc	inclusive
atajo	cds	inclusive
atornillar	asm	conservative
atorrante	is	inclusive
atraso	ddp	inclusive
autofollador	qas	conservative
avechucho	an	inclusive
aweonao	ddp	conservative
babazorro	rci	inclusive
bable	cds	inclusive
bachicha	ps	conservative
badulaque	ddp	inclusive
bagayo	qas	inclusive
bajar al pilón	qas	conservative
bajarse al moro	ps	conservative
bajero	cds	inclusive
balconazi	dmc	inclusive
banana	or	conservative
bananas	or	conservative
bareto	cds	inclusive
barquichuela	cds	inclusive
barquichuelo	cds	inclusive
bastarda	cds	conservative
bastardo	cds	conservative
batasuno	dmc	inclusive
bautista	svp	inclusive
bayunco	ddp	inclusive
bazofia	cds	inclusive
bellaco	dmc	conservative
bemba	ps	conservative
bereco	ps	inclusive
bestia	an	inclusive
bestial	an	conservative
bestialidad	an	conservative
beyako	qas	conservative
biblia	svp	inclusive
bicho	an	inclusive
bien verga	asm	conservative
bigardo	cds	inclusive
bilduetarra	dmc	inclusive
bizcochuelo	cds	inclusive
blanducho	ddf	inclusive
bocachancla	dmc	inclusive
bocazas	dmc	inclusive
