lemma	category	level
abid	ps	conservative
abruti	ddp	conservative
abrutis	ddp	conservative
alboche	ps	conservative
aller se faire enculer	cds	conservative
aller se faire foutre	cds	conservative
allez vous faire foutre	cds	conservative
allocs	is	inclusive
amerikkkain	ps	conservative
amerikkke	ps	conservative
amerlo	ps	inclusive
amerlok	ps	inclusive
amerloque	ps	inclusive
amerlot	ps	inclusive
américain à trait d'union	ps	inclusive
anarcho-fasciste	dmc	inclusive
andouille	ddp	inclusive
angliche	ps	inclusive
angryphone	rci	inclusive
anthropopithèque	ps	conservative
archiboche	ps	conservative
archicon	ddp	inclusive
asile de fous	ddp	conservative
asti	svp	conservative
attardé	ddp	conservative
attardée	ddp	conservative
attardés	ddp	conservative
autiste	ddp	inclusive
avorton	ddf	conservative
ayatollah	dmc	inclusive
ayatollahs	dmc	inclusive
babouin	ps	conservative
babouins	ps	conservative
babtou	ps	inclusive
baise	asm	conservative
baiser	asm	conservative
baises	asm	conservative
baisé	asm	conservative
baleine	ddf	conservative
baltringue	cds	conservative
baltringues	is	conservative
bamboula	ps	conservative
banania	ps	conservative
batard	cds	conservative
beauf	is	conservative
beaufs	is	conservative
belche	ps	inclusive
belgeois	ps	inclusive
belgeoisant	ps	inclusive
belgeoise	ps	inclusive
belgicain	ps	inclusive
berlingue	asf	inclusive
beurette	ps	conservative
bicot	ps	conservative
bicotte	ps	conservative
bigornette	asf	inclusive
bimbo	qas	inclusive
biroute	asm	inclusive
biroutier	asm	inclusive
bitch	cds	conservative
bite	asm	conservative
bites	asm	conservative
bitte	asm	conservative
blaireau	an	conservative
blaireaux	an	conservative
bloke	rci	inclusive
blondasse	qas	inclusive
boche	ps	conservative
boches	ps	conservative
bochesse	ps	conservative
bois d'ébène	ps	conservative
bolos	ddp	conservative
bon dieu de	svp	inclusive
bordel	svp	inclusive
bordille	cds	inclusive
bottes de guidoune	pr	inclusive
boucaque	asf	inclusive
boucaques	ps	conservative
boudin	cds	inclusive
bougnoul	ps	conservative
bougnoule	ps	conservative
bougnoules	ps	conservative
bougnoulie	ps	conservative
bougnoulisation	ps	conservative
bougnouliser	ps	conservative
bougnouls	ps	conservative
bougnègre	ps	conservative
boulet	cds	inclusive
bounty	ps	conservative
bourgeois	is	inclusive
bourricot	an	inclusive
bouseuse	is	inclusive
bouseux	is	inclusive
bouzeux	is	inclusive
bovin	an	inclusive
bovinement	an	inclusive
branle	asm	conservative
branler	asm	conservative
branles	asm	conservative
branleur	cds	conservative
branleurs	cds	conservative
brebis galeuse	an	inclusive
bridé	ps	conservative
bridée	ps	conservative
burne	asm	conservative
burnes	asm	conservative
burné	asm	inclusive
buse	an	inclusive
bâtard	cds	conservative
bâtards	cds	conservative
bêcheur	qas	inclusive
bêcheuse	qas	inclusive
bête comme ses pieds	ddp	inclusive
bête comme un camion	ddp	inclusive
bête comme un chou	ddp	inclusive
bête comme un cochon	ddp	inclusive
bête comme un cygne	ddp	inclusive
bête comme un âne	ddp	inclusive
bête à pleurer	ddp	inclusive
caca	svp	inclusive
cachina	asf	inclusive
cafre	ps	conservative
cageot	ddf	inclusive
cagoince	asf	inclusive
cagouince	asf	inclusive
caillera	is	inclusive
calice	svp	inclusive
calotin	svp	conservative
calotine	svp	conservative
calotinocratie	svp	inclusive
canaille	cds	inclusive
canaque	ps	conservative
cancer gay	om	conservative
caniche	an	inclusive
cassos	is	inclusive
cassosserie	is	inclusive
cathos	svp	inclusive
catin	pr	conservative
chagasse	asf	inclusive
chagatte	asf	inclusive
chameau	an	inclusive
chaouch	ps	conservative
charmouta	pr	inclusive
chatte	asf	conservative
chiabrena	asf	inclusive
chibre	asm	conservative
chien de chrétien	an	inclusive
chien de la casse	an	inclusive
chienne	an	conservative
chienne de chrétienne	an	inclusive
chienne de la casse	an	inclusive
chiennes	an	conservative
chier	cds	inclusive
chimpanzé	ps	conservative
chinetoc	ps	conservative
chinetoque	ps	conservative
chinqui-chinque	ps	conservative
chintok	ps	conservative
chiotte	cds	conservative
chiottes	cds	conservative
chleuh	ps	conservative
choune	asf	inclusive
christo-fasciste	dmc	inclusive
ciboire	svp	inclusive
clito	asf	conservative
clodo	is	inclusive
collabo	dmc	inclusive
collaborateur	dmc	inclusive
collaboratrice	dmc	inclusive
collabos	dmc	inclusive
colon	is	inclusive
complotiste	dmc	inclusive
con	ddp	conservative
conasse	ddp	conservative
conaud	ddp	inclusive
conchier	ddp	inclusive
concombre	ddp	inclusive
concours de bite	asm	inclusive
congoïde	ps	conservative
congoïdes	ps	conservative
connard	ddp	conservative
connarde	ddp	conservative
connards	ddp	conservative
connasses	cds	conservative
conne	ddp	conservative
conneau	ddp	inclusive
connerie	ddp	inclusive
conneries	ddp	inclusive
connes	ddp	conservative
cons	ddp	conservative
contrecrisser	svp	inclusive
cornichon	ddp	inclusive
cotorep	ddf	conservative
couille	asm	conservative
couille de loup	asm	inclusive
couille de mammouth	asm	inclusive
couille molle	cds	inclusive
couilles	asm	conservative
couillon	ddp	conservative
couillons	ddp	conservative
cramouille	asf	inclusive
crapaud	an	inclusive
crapaude	an	inclusive
crapule	cds	conservative
crevure	cds	conservative
crevures	cds	conservative
criss	svp	conservative
crisse	svp	conservative
crisser la paix	svp	inclusive
crisser son camp	svp	inclusive
crouillat	ps	conservative
crouille	ps	conservative
crouïa	ps	conservative
cruchon	ddp	inclusive
crétin	ddp	conservative
crétinard	ddp	inclusive
crétine	ddp	conservative
crétinocratie	ddp	inclusive
crétins	ddp	conservative
cul	asm	conservative
cul-de-jatte	ddf	conservative
cul-terreux	is	inclusive
culs	asm	conservative
curaille	svp	inclusive
curaillon	svp	inclusive
cureton	svp	inclusive
curotin	svp	inclusive
câliboire	svp	inclusive
câlice	svp	inclusive
câlisse	svp	inclusive
câlisser	svp	inclusive
demeuré	ddp	conservative
demeurés	ddp	conservative
dhimmi	ps	conservative
dhimmitude	ps	conservative
dindasse	an	inclusive
dinde	an	inclusive
dindes	an	inclusive
dindonne	an	inclusive
doryphore	ps	conservative
droit-de-l'hommisme	dmc	inclusive
droit-de-l'hommiste	dmc	inclusive
droitard	dmc	inclusive
droitarde	dmc	inclusive
droitardé	dmc	inclusive
droiteuse	dmc	inclusive
droiteux	dmc	inclusive
du schnoc	ddp	inclusive
duchnoc	ddp	inclusive
duchnoque	ddp	inclusive
ducon	ddp	conservative
