lemma	category	level
'sti cazzi	asm	conservative
'sto cazzo	asm	conservative
affanculo	qas	conservative
arrogante	cds	conservative
arroganti	cds	conservative
arrusa	om	conservative
arruso	om	conservative
bagascia	pr	conservative
bagascione	pr	conservative
bagassa	pr	conservative
baggianata	cds	conservative
baldracca	pr	conservative
balena	ddf	conservative
baluba	ps	conservative
bamboccione	is	conservative
bastarda	cds	conservative
bastarde	cds	conservative
bastardi	cds	conservative
bastardo	cds	conservative
battona	pr	conservative
battone	pr	conservative
befana	ddf	inclusive
befane	ddf	inclusive
belino	asm	conservative
bigotti	is	conservative
bigotto	is	conservative
bimbaminkia	cds	inclusive
bimbominkia	cds	inclusive
bischeraggine	ddp	inclusive
bischero	ddp	inclusive
bocchinara	asm	conservative
bocchinaro	asm	conservative
bocchini	asm	conservative
bocchino	asm	conservative
bofilo	om	conservative
boiata	cds	inclusive
branco	cds	inclusive
brinca	om	conservative
bucaiola	om	inclusive
bucaiole	om	inclusive
bucaioli	om	inclusive
bucaiolo	om	inclusive
budiùlo	om	conservative
bufu	om	conservative
bugiarda	cds	conservative
bugiardi	cds	conservative
bugiardo	cds	conservative
burini	is	inclusive
burino	is	inclusive
busone	om	inclusive
cacare	qas	inclusive
cacata	qas	inclusive
cacate	qas	inclusive
cacca	qas	inclusive
cafone	is	inclusive
cagare	qas	inclusive
cagna	an	conservative
cagone	cds	inclusive
cagotto	cds	inclusive
canaglia	cds	conservative
casta	dmc	inclusive
casto	dmc	inclusive
cattedratico	is	inclusive
cavolate	qas	inclusive
cazzaro	cds	conservative
cazzata	cds	conservative
cazzate	cds	conservative
cazzi	asm	conservative
cazzo	asm	conservative
cazzone	asm	conservative
cazzoni	asm	conservative
cazzuto	asm	conservative
cessi	ddf	conservative
cesso	ddf	conservative
che merda	qas	inclusive
che palle	qas	inclusive
checca	om	inclusive
checche	om	inclusive
chiappa	qas	inclusive
chiappe	qas	inclusive
chiavare	asm	conservative
chiavata	asm	conservative
ciarlatani	cds	conservative
cinegro	ps	conservative
ciucciacazzi	asm	conservative
clandestina	ps	conservative
clandestini	ps	conservative
clandestino	ps	conservative
coglionaggine	cds	conservative
coglionata	cds	conservative
coglionatura	cds	conservative
coglione	cds	conservative
coglioneria	cds	conservative
coglioni	cds	conservative
collotorto	is	inclusive
comunista	dmc	inclusive
comunisti	dmc	inclusive
conno	asf	inclusive
contadiname	is	inclusive
cornuti	cds	conservative
cornuto	cds	conservative
cortigiana	pr	inclusive
crepare	qas	inclusive
cretina	ddp	conservative
