id	pos	category	stereotype	lemma	level
EN00001	n	an	no	animals	inclusive
EN00002	n	an	no	biatch	conservative
EN00003	n	an	no	biatches	conservative
EN00004	n	an	no	bitch	conservative
EN00005	v	an	no	bitched	conservative
EN00006	n	an	no	bitches	conservative
EN00007	n	an	no	bitchface	conservative
EN00008	n	an	no	bitchfaces	conservative
EN00009	n	an	no	bitching	conservative
EN00010	n	an	no	bitchings	conservative
EN00011	n	an	no	bitchy	conservative
EN00012	n	an	no	pig	inclusive
EN00013	n	an	no	pigs	inclusive
EN00014	n	asf	no	axe wound	conservative
EN00015	n	asf	no	cunt	conservative
EN00016	n	asf	no	cuntbag	conservative
EN00017	n	asf	no	cuntbags	conservative
EN00018	n	asf	no	cuntface	conservative
EN00019	n	asf	no	cuntfaces	conservative
EN00020	n	asf	no	cunthole	conservative
EN00021	n	asf	no	cuntholes	conservative
EN00022	n	asf	no	cunties	conservative
EN00023	n	asf	no	cuntlicker	conservative
EN00024	n	asf	no	cuntlickers	conservative
EN00025	n	asf	no	cuntlicking	conservative
EN00026	n	asf	no	cuntlickings	conservative
EN00027	n	asf	no	cuntrag	conservative
EN00028	n	asf	no	cuntrags	conservative
EN00029	n	asf	no	cunts	conservative
EN00030	n	asf	no	cuntslut	conservative
EN00031	n	asf	no	cuntsluts	conservative
EN00032	n	asf	no	cuntsucker	conservative
EN00033	n	asf	no	cuntsuckers	conservative
EN00034	n	asf	no	cuntwaffle	conservative
EN00035	n	asf	no	cuntwaffles	conservative
EN00036	a	asf	no	cunty	conservative
EN00037	n	asf	no	fannies	inclusive
EN00038	n	asf	no	fanny	inclusive
EN00039	n	asf	no	flange	inclusive
EN00040	n	asf	no	flanges	inclusive
EN00041	n	asf	no	poon	conservative
EN00042	n	asf	no	poons	conservative
EN00043	n	asf	no	poontang	conservative
EN00044	n	asf	no	poontangs	conservative
EN00045	n	asf	no	punani	conservative
EN00046	n	asf	no	punanis	conservative
EN00047	n	asf	no	puss	inclusive
EN00048	n	asf	no	pusses	inclusive
EN00049	n	asf	no	pussies	conservative
EN00050	n	asf	no	pussy	conservative
EN00051	n	asf	no	pussylicker	conservative
EN00052	n	asf	no	pussylickers	conservative
EN00053	n	asf	no	queef	conservative
EN00054	n	asf	no	queefs	conservative
EN00055	n	asf	no	quim	conservative
EN00056	n	asf	no	quims	conservative
EN00057	n	asf	no	rag-box	conservative
EN00058	n	asf	no	shitcunt	conservative
EN00059	n	asf	no	shitcunts	conservative
EN00060	n	asf	no	snatch	inclusive
EN00061	n	asf	no	snatches	inclusive
EN00062	n	asf	no	thundercunt	conservative
EN00063	n	asf	no	thundercunts	conservative
EN00064	n	asf	no	tit	conservative
EN00065	n	asf	no	titjob	conservative
EN00066	n	asf	no	titjobs	conservative
