lemma	category	level
支那	ps	conservative
支那人	ps	conservative
姦国	ps	conservative
不逞鮮人	ps	conservative
怪鮮人	ps	conservative
鮮人	ps	conservative
三国人	ps	conservative
ジャップ	ps	conservative
ニガー	ps	conservative
ニグロ	ps	conservative
ネグロ	ps	conservative
カイク	ps	conservative
チョッパリ	ps	conservative
グエン	ps	conservative
ボドイ	ps	conservative
毛唐	ps	conservative
毛唐人	ps	conservative
洋夷	ps	conservative
洋鬼子	ps	conservative
紅夷	ps	conservative
白んぼ	ps	conservative
黒ん坊	ps	conservative
黒坊	ps	conservative
火病る	ps	conservative
虫国	ps	conservative
露助	ps	conservative
暴支膺懲	ps	conservative
醜虜	ps	conservative
鴃舌	ps	conservative
アメこう	ps	conservative
アメ公	ps	conservative
ニダ	ps	conservative
チョン	ps	conservative
夷狄蛮貊	ps	conservative
ちゃんころ	ps	conservative
K国	rci	conservative
ちばらき	rci	inclusive
中世ジャップランド	rci	conservative
ジャップランド	rci	conservative
ウリナラ	rci	conservative
マンセー	rci	inclusive
北鮮	rci	conservative
南鮮	rci	conservative
大阪民国	rci	inclusive
トンキン	rci	inclusive
ダ埼玉	rci	inclusive
ブリカス	rci	inclusive
フラカス	rci	inclusive
特定アジア	rci	inclusive
明るい北朝鮮	rci	inclusive
米帝	rci	inclusive
武漢肺炎	rci	conservative
中共肺炎	rci	conservative
将軍様	rci	inclusive
オカマ	om	conservative
オナベ	om	conservative
オトメン	om	inclusive
カーペットマンチャー	om	conservative
ファッジパッカー	om	conservative
シーメール	om	conservative
ゲイボーイ	om	inclusive
つんぼ	ddf	conservative
めくら	ddf	conservative
めしい	ddf	conservative
びっこ	ddf	conservative
ちんば	ddf	conservative
躄	ddf	conservative
いざり	ddf	conservative
癩	ddf	conservative
癩病	ddf	conservative
ぎっちょ	ddf	inclusive
でべそ	ddf	inclusive
太っちょ	ddf	inclusive
ぶす	ddf	conservative
ばばあ	ddf	inclusive
じじい	ddf	inclusive
禿	ddf	inclusive
はげ	ddf	inclusive
ハゲ	ddf	inclusive
チー牛	ddf	inclusive
ピザ	ddf	inclusive
顔パンツ	ddf	inclusive
デブ	ddf	inclusive
スベタ	ddf	inclusive
気違い	ddp	conservative
キチガイ	ddp	conservative
きちがい	ddp	conservative
基地外	ddp	conservative
白痴	ddp	conservative
精神分裂病	ddp	inclusive
精神分裂症	ddp	inclusive
統失	ddp	conservative
ガイジ	ddp	conservative
ゲェジ	ddp	conservative
ハッショ	ddp	conservative
ハッタショ	ddp	conservative
ハッタッショ	ddp	conservative
ギリギリ健常者	ddp	conservative
ギリ健	ddp	conservative
アスペ	ddp	conservative
唐変木	ddp	inclusive
戯け	ddp	inclusive
凡愚	ddp	inclusive
とろい	ddp	inclusive
とろくさい	ddp	inclusive
すっとこどっこい	ddp	inclusive
昼行灯	ddp	inclusive
馬鹿の一つ覚え	ddp	inclusive
馬鹿野郎	ddp	conservative
バカヤロウ	ddp	conservative
バカヤロー	ddp	conservative
鈍物	ddp	inclusive
馬鹿	ddp	inclusive
ばか	ddp	inclusive
バカ	ddp	inclusive
マヌケ	ddp	inclusive
アホ	ddp	inclusive
阿呆	ddp	inclusive
ボケ	ddp	inclusive
惚け	ddp	inclusive
間抜け	ddp	inclusive
情弱	ddp	inclusive
国賊	dmc	conservative
売国奴	dmc	conservative
非国民	dmc	conservative
ネトウヨ	dmc	inclusive
ネトサヨ	dmc	inclusive
マスゴミ	dmc	inclusive
パヨク	dmc	inclusive
アベガー	dmc	inclusive
アベノセイダーズ	dmc	inclusive
ツイフェミ	dmc	inclusive
フェミ	dmc	inclusive
出羽守	dmc	inclusive
表現の自由戦士	dmc	inclusive
御用学者	dmc	inclusive
転売ヤー	dmc	inclusive
唯我独尊	dmc	inclusive
巾着	dmc	inclusive
腰巾着	dmc	inclusive
嫌韓	dmc	inclusive
ナチ	dmc	inclusive
クソアカ	dmc	inclusive
軟派	dmc	inclusive
ズッ婚バッ婚	dmc	inclusive
舐め腐る	dmc	conservative
逝ってよし	dmc	conservative
穢多	is	conservative
非人	is	conservative
えた	is	conservative
河原者	is	conservative
ホワイトトラッシュ	is	conservative
乞食	is	inclusive
乞丐	is	inclusive
成り金	is	inclusive
上級国民	is	inclusive
土方	is	inclusive
雲助	is	inclusive
ナマポ	is	conservative
子ども部屋おじさん	is	inclusive
子供部屋おじさん	is	inclusive
陰キャ	is	inclusive
陰キャラ	is	inclusive
壁蝨	an	inclusive
山猿	an	inclusive
むしけら	an	conservative
ゴキブリ	an	conservative
チンパン	an	inclusive
牝犬	an	conservative
雌犬	an	conservative
犬畜生	an	inclusive
畜生	cds	conservative
雌豚	an	conservative
萌え豚	an	inclusive
声豚	an	inclusive
俳豚	an	inclusive
任豚	an	inclusive
バチャ豚	an	inclusive
焼き豚	an	inclusive
豚野郎	an	conservative
鬼畜	an	conservative
駄犬	an	inclusive
芋虫	an	inclusive
ちんこ	asm	inclusive
ちんちん	asm	inclusive
ちんぽ	asm	inclusive
チンコ	asm	inclusive
チンチン	asm	inclusive
チンポ	asm	inclusive
ﾁﾝﾁﾝ	asm	inclusive
でかちん	asm	inclusive
デカチン	asm	inclusive
ちんかす	asm	inclusive
ちんげ	asm	inclusive
ちんぼこ	asm	inclusive
ふるちん	asm	inclusive
ふにゃちん	asm	conservative
金玉	asm	inclusive
金玉袋	asm	inclusive
キンタマ	asm	inclusive
玉袋	asm	inclusive
我慢汁	asm	inclusive
男汁	asm	inclusive
搾精	asm	inclusive
ポコチン	asm	inclusive
イチモツ	asm	inclusive
ディック	asm	inclusive
ペッカー	asm	inclusive
プリック	asm	inclusive
インポ	asm	conservative
早漏	asm	conservative
遅漏	asm	conservative
粗チン	asm	conservative
包茎	asm	inclusive
穴兄弟	asm	inclusive
ジャークオフ	asm	inclusive
賢者タイム	asm	inclusive
おまんこ	asf	conservative
まんこ	asf	conservative
オマンコ	asf	conservative
マンコ	asf	conservative
おめこ	asf	conservative
まんまん	asf	inclusive
まんすじ	asf	inclusive
まん毛	asf	inclusive
まん汁	asf	inclusive
もりまん	asf	inclusive
くぱぁ	asf	conservative
パンズラ	asf	conservative
ミミズ千匹	asf	inclusive
あなほり	asf	conservative
スカルファック	asf	conservative
肉便器	asf	conservative
膣なら	asf	inclusive
膣ドカタ	asf	inclusive
淫水	asf	inclusive
淫液	asf	inclusive
指まん	asf	inclusive
淫乱	asf	conservative
睡姦	asf	conservative
酔姦	asf	conservative
青姦	asf	inclusive
スナッチ	asf	inclusive
プッシー	asf	inclusive
貧乳	asf	inclusive
スケベ	asf	inclusive
すけべ	asf	inclusive
エロい	asf	inclusive
パン助	pr	conservative
女郎	pr	conservative
売女	pr	conservative
泡姫	pr	inclusive
男娼	pr	inclusive
痴女	pr	inclusive
立ちんぼ	pr	inclusive
売春婦	pr	inclusive
円光	pr	inclusive
援交	pr	inclusive
援助交際	pr	inclusive
パパ活	pr	inclusive
カーフィル	svp	conservative
邪宗	svp	inclusive
ガッデム	svp	inclusive
ゴッデム	svp	inclusive
神だらけの	svp	inclusive
獣姦	re	conservative
屍姦	re	conservative
強姦	re	conservative
輪姦	re	conservative
近親相姦	re	conservative
逆レイプ	re	conservative
レイプ	re	conservative
陵辱	re	conservative
性奴隷	re	conservative
淫行	re	inclusive
覗き	re	inclusive
死ね	cds	conservative
しね	cds	conservative
シネ	cds	conservative
糞	cds	conservative
糞垂れ	cds	conservative
糞垂	cds	conservative
糞餓鬼	cds	conservative
糞野郎	cds	conservative
