id	pos	category	stereotype	lemma	level
JA00001	n	an	no	ごきぶり	conservative
JA00002	n	an	no	ちんぱん	inclusive
JA00003	n	an	no	むしけら	conservative
JA00004	n	an	no	ゴキブリ	conservative
JA00005	n	an	no	チンパン	inclusive
JA00006	n	an	no	バチャ豚	inclusive
JA00007	n	an	no	ムシケラ	conservative
JA00008	n	an	no	任豚	inclusive
JA00009	n	an	no	俳豚	inclusive
JA00010	n	an	no	壁蝨	inclusive
JA00011	n	an	no	声豚	inclusive
JA00012	n	an	no	山猿	inclusive
JA00013	n	an	no	焼き豚	inclusive
JA00014	n	an	no	牝犬	conservative
JA00015	n	an	no	犬畜生	inclusive
JA00016	n	an	no	芋虫	inclusive
JA00017	n	an	no	萌え豚	inclusive
JA00018	n	an	no	豚野郎	conservative
JA00019	n	an	no	雌犬	conservative
JA00020	n	an	no	雌豚	conservative
JA00021	n	an	no	駄犬	inclusive
JA00022	n	an	no	鬼畜	conservative
JA00023	n	asf	no	あなほり	conservative
JA00024	n	asf	no	おまんこ	conservative
JA00025	n	asf	no	おめこ	conservative
JA00026	n	asf	no	くぱぁ	conservative
JA00027	n	asf	no	すかるふぁっく	conservative
JA00028	n	asf	no	すけべ	inclusive
JA00029	n	asf	no	すなっち	inclusive
JA00030	n	asf	no	ぱんずら	conservative
JA00031	n	asf	no	まんこ	conservative
JA00032	n	asf	no	まんすじ	inclusive
JA00033	n	asf	no	まんまん	inclusive
JA00034	n	asf	no	まん毛	inclusive
JA00035	n	asf	no	まん汁	inclusive
JA00036	n	asf	no	もりまん	inclusive
JA00037	n	asf	no	アナホリ	conservative
JA00038	n	asf	no	エロい	inclusive
JA00039	n	asf	no	オマンコ	conservative
JA00040	n	asf	no	オメコ	conservative
JA00041	n	asf	no	クパァ	conservative
JA00042	n	asf	no	スカルファック	conservative
JA00043	n	asf	no	スケベ	inclusive
JA00044	n	asf	no	スナッチ	inclusive
JA00045	n	asf	no	パンズラ	conservative
JA00046	n	asf	no	プッシー	inclusive
JA00047	n	asf	no	マンコ	conservative
JA00048	n	asf	no	マンスジ	inclusive
JA00049	n	asf	no	マンマン	inclusive
JA00050	n	asf	no	ミミズ千匹	inclusive
JA00051	n	asf	no	モリマン	inclusive
JA00052	n	asf	no	指まん	inclusive
JA00053	n	asf	no	淫乱	conservative
JA00054	n	asf	no	淫水	inclusive
JA00055	n	asf	no	淫液	inclusive
JA00056	n	asf	no	睡姦	conservative
JA00057	n	asf	no	肉便器	conservative
JA00058	n	asf	no	膣なら	inclusive
JA00059	n	asf	no	膣ドカタ	inclusive
JA00060	n	asf	no	貧乳	inclusive
JA00061	n	asf	no	酔姦	conservative
JA00062	n	asf	no	青姦	inclusive
JA00063	n	asm	no	いちもつ	inclusive
JA00064	n	asm	no	いんぽ	conservative
JA00065	n	asm	no	きんたま	inclusive
JA00066	n	asm	no	ちんかす	inclusive
JA00067	n	asm	no	ちんげ	inclusive
JA00068	n	asm	no	ちんこ	inclusive
JA00069	n	asm	no	ちんちん	inclusive
JA00070	n	asm	no	ちんぼこ	inclusive
JA00071	n	asm	no	ちんぽ	inclusive
JA00072	n	asm	no	でぃっく	inclusive
JA00073	n	asm	no	でかちん	inclusive
JA00074	n	asm	no	ふにゃちん	conservative
JA00075	n	asm	no	ふるちん	inclusive
JA00076	n	asm	no	ぷりっく	inclusive
JA00077	n	asm	no	ぽこちん	inclusive
JA00078	n	asm	no	イチモツ	inclusive
JA00079	n	asm	no	インポ	conservative
JA00080	n	asm	no	キンタマ	inclusive
JA00081	n	asm	no	ジャークオフ	inclusive
JA00082	n	asm	no	チンカス	inclusive
JA00083	n	asm	no	チンゲ	inclusive
JA00084	n	asm	no	チンコ	inclusive
JA00085	n	asm	no	チンチン	inclusive
JA00086	n	asm	no	チンボコ	inclusive
JA00087	n	asm	no	チンポ	inclusive
JA00088	n	asm	no	ディック	inclusive
JA00089	n	asm	no	デカチン	inclusive
JA00090	n	asm	no	フニャチン	conservative
JA00091	n	asm	no	フルチン	inclusive
JA00092	n	asm	no	プリック	inclusive
JA00093	n	asm	no	ペッカー	inclusive
JA00094	n	asm	no	ポコチン	inclusive
JA00095	n	asm	no	包茎	inclusive
JA00096	n	asm	no	我慢汁	inclusive
JA00097	n	asm	no	搾精	inclusive
JA00098	n	asm	no	早漏	conservative
JA00099	n	asm	no	玉袋	inclusive
JA00100	n	asm	no	男汁	inclusive
JA00101	n	asm	no	穴兄弟	inclusive
JA00102	n	asm	no	粗チン	conservative
JA00103	n	asm	no	賢者タイム	inclusive
JA00104	n	asm	no	遅漏	conservative
JA00105	n	asm	no	金玉	inclusive
JA00106	n	asm	no	金玉袋	inclusive
JA00107	n	asm	no	ﾁﾝﾁﾝ	inclusive
JA00108	n	cds	no	fuck	conservative
JA00109	n	cds	no	かす	conservative
JA00110	n	cds	no	くず	conservative
JA00111	n	cds	no	くそ	conservative
JA00112	n	cds	no	くそあま	conservative
JA00113	n	cds	no	くそごみ	conservative
JA00114	n	cds	no	こん畜生	conservative
JA00115	n	cds	no	しね	conservative
JA00116	n	cds	no	すかむ	conservative
JA00117	n	cds	no	てめえ	conservative
JA00118	n	cds	no	ふぁっきん	conservative
JA00119	n	cds	no	ふぁっく	conservative
JA00120	n	cds	no	カス	conservative
JA00121	n	cds	no	クズ	conservative
JA00122	n	cds	no	クソ	conservative
JA00123	n	cds	no	クソくらえ	conservative
JA00124	n	cds	no	クソアマ	conservative
JA00125	n	cds	no	クソゴミ	conservative
JA00126	n	cds	no	クソ野郎	conservative
JA00127	n	cds	no	シネ	conservative
JA00128	n	cds	no	スカム	conservative
JA00129	n	cds	no	テメエ	conservative
JA00130	n	cds	no	ドッグファッカー	conservative
JA00131	n	cds	no	ファッキュー	conservative
JA00132	n	cds	no	ファッキン	conservative
JA00133	n	cds	no	ファック	conservative
JA00134	n	cds	no	マザーファッカー	conservative
JA00135	n	cds	no	マザー・ファッカー	conservative
JA00136	n	cds	no	下衆野郎	conservative
JA00137	n	cds	no	屑	conservative
JA00138	n	cds	no	死ね	conservative
JA00139	n	cds	no	畜生	conservative
JA00140	n	cds	no	糞	conservative
JA00141	n	cds	no	糞くらえ	conservative
JA00142	n	cds	no	糞垂	conservative
JA00143	n	cds	no	糞垂れ	conservative
JA00144	n	cds	no	糞野郎	conservative
JA00145	n	cds	no	糞食らえ	conservative
JA00146	n	cds	no	糞餓鬼	conservative
JA00147	n	cds	no	貴様	conservative
JA00148	n	cds	no	貴様ら	conservative
JA00149	n	cds	no	野郎	inclusive
JA00150	n	ddf	yes	いざり	conservative
JA00151	n	ddf	yes	ぎっちょ	inclusive
JA00152	n	ddf	yes	じじい	inclusive
JA00153	n	ddf	yes	すべた	inclusive
JA00154	n	ddf	yes	ちんば	conservative
JA00155	n	ddf	yes	つんぼ	conservative
JA00156	n	ddf	yes	でぶ	inclusive
JA00157	n	ddf	yes	でべそ	inclusive
JA00158	n	ddf	yes	はげ	inclusive
JA00159	n	ddf	yes	ばばあ	inclusive
JA00160	n	ddf	yes	びっこ	conservative
JA00161	n	ddf	yes	ぶす	conservative
JA00162	n	ddf	yes	めくら	conservative
JA00163	n	ddf	yes	めしい	conservative
JA00164	n	ddf	yes	イザリ	conservative
JA00165	n	ddf	yes	ギッチョ	inclusive
JA00166	n	ddf	yes	ジジイ	inclusive
JA00167	n	ddf	yes	スベタ	inclusive
JA00168	n	ddf	yes	チンバ	conservative
JA00169	n	ddf	yes	チー牛	inclusive
JA00170	n	ddf	yes	ツンボ	conservative
JA00171	n	ddf	yes	デブ	inclusive
JA00172	n	ddf	yes	デベソ	inclusive
JA00173	n	ddf	yes	ハゲ	inclusive
JA00174	n	ddf	yes	ババア	inclusive
JA00175	n	ddf	yes	ビッコ	conservative
JA00176	n	ddf	yes	ピザ	inclusive
JA00177	n	ddf	yes	ブス	conservative
JA00178	n	ddf	yes	メクラ	conservative
JA00179	n	ddf	yes	メシイ	conservative
JA00180	n	ddf	yes	太っちょ	inclusive
JA00181	n	ddf	yes	癩	conservative
JA00182	n	ddf	yes	癩病	conservative
JA00183	n	ddf	yes	禿	inclusive
JA00184	n	ddf	yes	躄	conservative
JA00185	n	ddf	yes	顔パンツ	inclusive
JA00186	n	ddp	yes	あすぺ	conservative
JA00187	n	ddp	yes	あほ	inclusive
JA00188	n	ddp	yes	がいじ	conservative
JA00189	n	ddp	yes	きちがい	conservative
JA00190	n	ddp	yes	げぇじ	conservative
JA00191	n	ddp	yes	すっとこどっこい	inclusive
JA00192	n	ddp	yes	とろい	inclusive
JA00193	n	ddp	yes	とろくさい	inclusive
JA00194	n	ddp	yes	はっしょ	conservative
JA00195	n	ddp	yes	はったしょ	conservative
JA00196	n	ddp	yes	はったっしょ	conservative
JA00197	n	ddp	yes	ばか	inclusive
JA00198	n	ddp	yes	ばかやろう	conservative
JA00199	n	ddp	yes	ぼけ	inclusive
JA00200	n	ddp	yes	まぬけ	inclusive
JA00201	n	ddp	yes	アスペ	conservative
JA00202	n	ddp	yes	アホ	inclusive
JA00203	n	ddp	yes	ガイジ	conservative
JA00204	n	ddp	yes	キチガイ	conservative
JA00205	n	ddp	yes	ギリギリ健常者	conservative
JA00206	n	ddp	yes	ギリ健	conservative
JA00207	n	ddp	yes	ゲェジ	conservative
JA00208	n	ddp	yes	スットコドッコイ	inclusive
JA00209	n	ddp	yes	トロクサイ	inclusive
JA00210	n	ddp	yes	ハッショ	conservative
JA00211	n	ddp	yes	ハッタショ	conservative
JA00212	n	ddp	yes	ハッタッショ	conservative
JA00213	n	ddp	yes	バカ	inclusive
JA00214	n	ddp	yes	バカヤロウ	conservative
JA00215	n	ddp	yes	バカヤロー	conservative
JA00216	n	ddp	yes	ボケ	inclusive
JA00217	n	ddp	yes	マヌケ	inclusive
JA00218	n	ddp	yes	凡愚	inclusive
JA00219	n	ddp	yes	唐変木	inclusive
JA00220	n	ddp	yes	基地外	conservative
JA00221	n	ddp	yes	情弱	inclusive
JA00222	n	ddp	yes	惚け	inclusive
JA00223	n	ddp	yes	戯け	inclusive
JA00224	n	ddp	yes	昼行灯	inclusive
JA00225	n	ddp	yes	気違い	conservative
JA00226	n	ddp	yes	白痴	conservative
JA00227	n	ddp	yes	精神分裂病	inclusive
JA00228	n	ddp	yes	精神分裂症	inclusive
JA00229	n	ddp	yes	統失	conservative
JA00230	n	ddp	yes	鈍物	inclusive
JA00231	n	ddp	yes	間抜け	inclusive
JA00232	n	ddp	yes	阿呆	inclusive
JA00233	n	ddp	yes	馬鹿	inclusive
JA00234	n	ddp	yes	馬鹿の一つ覚え	inclusive
JA00235	n	ddp	yes	馬鹿野郎	conservative
JA00236	n	dmc	no	くそあか	inclusive
JA00237	n	dmc	no	ついふぇみ	inclusive
JA00238	n	dmc	no	なち	inclusive
JA00239	n	dmc	no	ねとうよ	inclusive
JA00240	n	dmc	no	ねとさよ	inclusive
JA00241	n	dmc	no	ぱよく	inclusive
JA00242	n	dmc	no	ふぇみ	inclusive
JA00243	n	dmc	no	ますごみ	inclusive
JA00244	n	dmc	no	アベガー	inclusive
JA00245	n	dmc	no	アベノセイダーズ	inclusive
JA00246	n	dmc	no	クソアカ	inclusive
JA00247	n	dmc	no	ズッ婚バッ婚	inclusive
JA00248	n	dmc	no	ツイフェミ	inclusive
JA00249	n	dmc	no	ナチ	inclusive
JA00250	n	dmc	no	ネトウヨ	inclusive
JA00251	n	dmc	no	ネトサヨ	inclusive
JA00252	n	dmc	no	パヨク	inclusive
JA00253	n	dmc	no	フェミ	inclusive
JA00254	n	dmc	no	マスゴミ	inclusive
JA00255	n	dmc	no	出羽守	inclusive
JA00256	n	dmc	no	唯我独尊	inclusive
JA00257	n	dmc	no	国賊	conservative
JA00258	n	dmc	no	売国奴	conservative
JA00259	n	dmc	no	嫌韓	inclusive
JA00260	n	dmc	no	巾着	inclusive
JA00261	n	dmc	no	御用学者	inclusive
JA00262	n	dmc	no	腰巾着	inclusive
JA00263	n	dmc	no	舐め腐る	conservative
JA00264	n	dmc	no	表現の自由戦士	inclusive
JA00265	n	dmc	no	軟派	inclusive
JA00266	n	dmc	no	転売ヤー	inclusive
JA00267	n	dmc	no	逝ってよし	conservative
JA00268	n	dmc	no	非国民	conservative
JA00269	n	is	no	えた	conservative
JA00270	n	is	no	なまぽ	conservative
JA00271	n	is	no	ほわいととらっしゅ	conservative
JA00272	n	is	no	エタ	conservative
JA00273	n	is	no	ナマポ	conservative
JA00274	n	is	no	ホワイトトラッシュ	conservative
JA00275	n	is	no	上級国民	inclusive
JA00276	n	is	no	乞丐	inclusive
JA00277	n	is	no	乞食	inclusive
JA00278	n	is	no	土方	inclusive
JA00279	n	is	no	子ども部屋おじさん	inclusive
JA00280	n	is	no	子供部屋おじさん	inclusive
JA00281	n	is	no	成り金	inclusive
JA00282	n	is	no	河原者	conservative
JA00283	n	is	no	穢多	conservative
JA00284	n	is	no	陰キャ	inclusive
JA00285	n	is	no	陰キャラ	inclusive
JA00286	n	is	no	雲助	inclusive
JA00287	n	is	no	非人	conservative
JA00288	n	om	yes	おとめん	inclusive
JA00289	n	om	yes	オカマ	conservative
JA00290	n	om	yes	オトメン	inclusive
JA00291	n	om	yes	オナベ	conservative
JA00292	n	om	yes	カーペットマンチャー	conservative
JA00293	n	om	yes	ゲイボーイ	inclusive
JA00294	n	om	yes	シーメール	conservative
JA00295	n	om	yes	ファッジパッカー	conservative
JA00296	n	pr	no	パパ活	inclusive
JA00297	n	pr	no	パン助	conservative
JA00298	n	pr	no	円光	inclusive
JA00299	n	pr	no	売女	conservative
JA00300	n	pr	no	売春婦	inclusive
JA00301	n	pr	no	女郎	conservative
JA00302	n	pr	no	援交	inclusive
JA00303	n	pr	no	援助交際	inclusive
JA00304	n	pr	no	泡姫	inclusive
JA00305	n	pr	no	男娼	inclusive
JA00306	n	pr	no	痴女	inclusive
JA00307	n	pr	no	立ちんぼ	inclusive
JA00308	n	ps	yes	かいく	conservative
JA00309	n	ps	yes	ぐえん	conservative
JA00310	n	ps	yes	じゃっぷ	conservative
JA00311	n	ps	yes	ちゃんころ	conservative
JA00312	n	ps	yes	ちょっぱり	conservative
JA00313	n	ps	yes	にぐろ	conservative
JA00314	n	ps	yes	にだ	conservative
JA00315	n	ps	yes	ねぐろ	conservative
JA00316	n	ps	yes	ぼどい	conservative
JA00317	n	ps	yes	アメこう	conservative
JA00318	n	ps	yes	アメ公	conservative
JA00319	n	ps	yes	カイク	conservative
