lemma	category	level
2찍	dmc	inclusive
ㅁㅊ	ddp	inclusive
ㅂㅅ	ddp	conservative
ㅄ	ddp	conservative
ㅅㅂ	svp	conservative
ㅇㅈㄹ	svp	inclusive
ㅈㄹ	svp	inclusive
가오	qas	inclusive
가오가	qas	inclusive
가카	dmc	inclusive
간나	cds	conservative
갈구다	cds	inclusive
강남좌파	dmc	inclusive
개간년	pr	conservative
개년	pr	conservative
개놈	cds	conservative
개독	ps	conservative
개독과	ps	conservative
개독교	ps	conservative
개독교가	ps	conservative
개독교는	ps	conservative
개독교도	ps	conservative
개독교들	ps	conservative
개독교로	ps	conservative
개독교를	ps	conservative
개독교부터	ps	conservative
개독교야	ps	conservative
개독교에	ps	conservative
개독교에서	ps	conservative
개독교와	ps	conservative
개독교의	ps	conservative
개독까지	ps	conservative
개독도	ps	conservative
개독들	ps	conservative
개독만	ps	conservative
개독부터	ps	conservative
개독아	ps	conservative
개독에	ps	conservative
개독에서	ps	conservative
개독으로	ps	conservative
개독은	ps	conservative
개독을	ps	conservative
개독의	ps	conservative
개독이	ps	conservative
개돼지	is	conservative
개돼지가	is	conservative
개돼지같은	is	conservative
개돼지같이	is	conservative
개돼지는	is	conservative
개돼지도	is	conservative
개돼지들	is	conservative
개돼지로	is	conservative
개돼지를	is	conservative
개돼지에	is	conservative
개돼지의	is	conservative
개돼지처럼	is	conservative
개새끼	cds	conservative
개소리	svp	inclusive
개소리가	svp	inclusive
개소리는	svp	inclusive
개소리도	svp	inclusive
개소리로	svp	inclusive
개소리를	svp	inclusive
개소리만	svp	inclusive
개소리야	svp	inclusive
개소리에	svp	inclusive
개슬람	ps	conservative
개슬람아	ps	conservative
개슬람은	ps	conservative
개자식	cds	conservative
개저씨	dmc	inclusive
개저씨가	dmc	inclusive
개저씨는	dmc	inclusive
개저씨들	dmc	inclusive
개저씨를	dmc	inclusive
개저씨야	dmc	inclusive
개좆	asm	conservative
개지랄	svp	inclusive
개지랄하다	svp	inclusive
개차반	cds	conservative
개차반도	cds	inclusive
개차반으로	cds	conservative
개판	cds	inclusive
개판으로	cds	inclusive
개판을	cds	inclusive
개판이	cds	inclusive
개판처럼	cds	inclusive
개한민국	rci	inclusive
개한민국만	rci	inclusive
개한민국에	rci	inclusive
개한민국에서	rci	inclusive
개한민국은	rci	inclusive
개한민국의	rci	inclusive
개한민국이	rci	inclusive
거머리	an	inclusive
거머리같은	an	inclusive
거지	is	inclusive
거지가	is	inclusive
거지같은	is	inclusive
거지같이	is	inclusive
거지도	is	inclusive
거지들	is	inclusive
거지로	is	inclusive
거지발싸개	is	inclusive
거지와	is	inclusive
거짓부렁	svp	inclusive
거짓부렁에	svp	inclusive
거짓부렁이	svp	inclusive
거짓부리	svp	inclusive
거짓불	svp	inclusive
걸레	pr	conservative
걸레같이	pr	conservative
걸레도	pr	conservative
걸레를	pr	conservative
걸레만	pr	conservative
걸레와	pr	conservative
검둥이	ps	conservative
검둥이들	ps	conservative
겁꾸러기	ddf	inclusive
겁대가리	ddf	inclusive
겁쟁이	ddf	inclusive
겉치레	qas	inclusive
게으름뱅이	dmc	inclusive
게으름뱅이가	dmc	inclusive
